Ts,Run,Frame,dID,oID,R11,R12,R13,R21,R22,R23,R31,R32,R33,Tx,Ty,Tz
20.39.57.164,6,57298,object_7,1,0.944623,0.320656,-0.0697565,-0.327703,0.910587,-0.251877,-0.0172465,0.260788,0.965242,-0.237672753632,0.0785822831094,0.713676230982
20.40.12.131,6,57421,object_6,1,0.90652,0.384795,-0.173648,-0.394454,0.918612,-0.0236314,0.150422,0.0899186,0.984524,-0.198829568923,0.107607503422,0.721925051883
20.40.26.090,6,57585,object_6,2,0.985282,0.156053,-0.0697565,-0.167854,0.960425,-0.222282,0.032308,0.230719,0.972484,-0.196195907891,0.00568024814129,0.72680525016
20.40.26.090,6,57585,object_7,2,0.985282,0.156053,-0.0697565,-0.167854,0.960425,-0.222282,0.032308,0.230719,0.972484,-0.196195907891,0.00568024814129,0.72680525016
20.40.39.014,6,57688,object_6,2,0.999505,0.0174464,0.0261769,-0.0171659,0.999793,-0.0109044,-0.0263618,0.0104496,0.999598,-0.233209097758,-0.116444472224,0.975793551654
20.40.39.014,6,57688,object_7,2,0.999505,0.0174464,0.0261769,-0.0171659,0.999793,-0.0109044,-0.0263618,0.0104496,0.999598,-0.233209097758,-0.116444472224,0.975793551654
20.40.52.025,6,57903,object_6,1,0.996879,0.00869964,0.0784591,-0.0202272,0.988877,0.147354,-0.0763045,-0.148481,0.985967,-0.390704348683,-0.0531393075362,0.998128773645
20.41.04.021,6,57995,object_6,1,0.999998,-6.52426e-11,0.00218166,-0.00131675,0.797321,0.603554,-0.00173948,-0.603556,0.797319,0.166570115834,-0.225388266146,0.982531137764
20.41.16.355,6,58162,object_6,2,0.980021,-0.197162,-0.0261769,0.180567,0.937166,-0.298522,0.0833894,0.287831,0.954044,0.103192072827,-0.064084097743,0.743770422414
20.41.16.355,6,58162,object_7,2,0.980021,-0.197162,-0.0261769,0.180567,0.937166,-0.298522,0.0833894,0.287831,0.954044,0.103192072827,-0.064084097743,0.743770422414
20.41.30.258,6,58253,object_6,1,0.982223,0.182044,0.0457989,-0.187663,0.946437,0.262755,0.00448737,-0.266679,0.963775,-0.131277032197,-0.0981269441545,1.00192744099
20.41.43.266,6,58437,object_7,1,0.999962,-1.03587e-10,-0.00872654,-0.00278702,0.947629,-0.319361,0.00826952,0.319373,0.947593,-0.105242698453,-0.03325708583,0.720311082434
20.42.00.343,6,58540,object_6,2,0.999239,-0.0174418,0.0348995,0.0176804,0.999822,-0.00654095,-0.0347792,0.00715301,0.999369,-0.141454078257,-0.112080704421,0.982444677502
20.42.00.343,6,58540,object_7,2,0.999239,-0.0174418,0.0348995,0.0176804,0.999822,-0.00654095,-0.0347792,0.00715301,0.999369,-0.141454078257,-0.112080704421,0.982444677502
20.42.13.485,6,58746,object_6,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.215417146683,-0.0454961881042,0.748000025749
20.42.23.453,6,58858,object_6,2,0.979014,0.188085,-0.0784591,-0.203243,0.929402,-0.308064,0.0149777,0.317546,0.948125,-0.227735430002,-0.143712116405,0.731734210189
20.42.23.453,6,58858,object_7,2,0.979014,0.188085,-0.0784591,-0.203243,0.929402,-0.308064,0.0149777,0.317546,0.948125,-0.227735430002,-0.143712116405,0.731734210189
20.42.36.387,6,59013,object_6,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.215911448002,-0.0268438048661,0.744000077248
20.42.36.387,6,59013,object_7,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.215911448002,-0.0268438048661,0.744000077248
20.42.49.334,6,59126,object_7,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.232614293694,-0.00708095729351,0.725000023842
20.43.00.285,6,59290,object_6,2,0.999695,-0.0174497,-0.0174524,0.016152,0.997279,-0.0719217,0.0186599,0.0716179,0.997258,0.0135042150505,0.0594127699733,0.718224676326
20.43.00.285,6,59290,object_7,2,0.999695,-0.0174497,-0.0174524,0.016152,0.997279,-0.0719217,0.0186599,0.0716179,0.997258,0.0135042150505,0.0594127699733,0.718224676326
20.43.17.262,6,59413,object_6,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.229811429977,-0.0323619060218,0.742000102997
